ano,id_municipio,id_municipio_nome,sigla_uf,sigla_uf_nome,populacao_atendida_agua,populacao_urbana_residente_esgoto,extensao_rede_esgoto,volume_agua_tratada_eta,volume_agua_tratada_importado,quantidade_empregado,despesa_agua_importada,despesa_fiscal_nao_computada,despesa_divida_variacao,investimento_agua_prestador,investimento_recurso_oneroso_prestador,investimento_recurso_nao_oneroso_prestador,natureza_juridica
2022,1400282,Iracema,RR,Roraima,6176,,9.0,0.0,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta
2020,1200138,Bujari,AC,Acre,4887,4543,1.0,516.51,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,Autarquia | Administração pública direta
2016,1200385,PlÃ¡cido de Castro,AC,Acre,7664,11062,1.0,203.0,0.0,19,0.0,200.0,50.0,0.0,0.0,0.0,Autarquia | Administração pública direta
2014,1200385,PlÃ¡cido de Castro,AC,Acre,7303,10847,1.0,767.33,0.0,10,0.0,200.0,50.0,19159.09,0.0,15750.0,Autarquia | Administração pública direta
2022,1303536,Presidente Figueiredo,AM,Amazonas,17000,,19.57,0.0,0.0,16,0.0,100.0,0.0,0.0,0.0,0.0,Autarquia | Administração pública direta
2020,1400472,RorainÃ³polis,RR,Roraima,16520,13532,20.0,1525.63,0.0,26,0.0,0.0,0.0,0.0,0.0,0.0,Sociedade de economia mista com administração pública | Administração pública direta
2014,1200138,Bujari,AC,Acre,3945,3999,1.0,480.09,0.0,17,0.0,0.0,0.0,19159.09,0.0,15750.0,Autarquia | Administração pública direta
2005,1400100,Boa Vista,RR,Roraima,233704,237989,207.1,11753.4,0.0,285,0.0,0.0,0.0,213509.0,0.0,0.0,Sociedade de economia mista com administração pública | Administração pública direta
2014,1400209,CaracaraÃ­,RR,Roraima,14308,11849,54.09,0.0,0.0,24,0.0,0.0,0.0,0.0,0.0,0.0,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta
2004,1200401,Rio Branco,AC,Acre,160920,255829,132.0,21634.0,0.0,175,0.0,0.0,0.0,527152.25,0.0,1386164.33,Autarquia | Administração pública direta
2014,1200336,MÃ¢ncio Lima,AC,Acre,7823,9664,0.7,1384.9,0.0,6,0.0,1.0,1.0,32999.32,0.0,15750.0,Autarquia | Administração pública direta | Administração pública direta
2012,1200385,PlÃ¡cido de Castro,AC,Acre,7000,10610,6.0,716.1,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,Autarquia | Administração pública direta
2003,1200401,Rio Branco,AC,Acre,188982,245521,118.6,21668.9,0.0,228,0.0,0.0,0.0,1314236.0,0.0,1314236.0,Autarquia | Administração pública direta
2022,1302900,MauÃ©s,AM,Amazonas,30249,,30.0,0.0,0.0,27,0.0,0.0,0.0,136960.0,136960.0,136960.0,Autarquia | Administração pública direta
2019,1400159,Bonfim,RR,Roraima,6458,4208,9.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta
2014,1302603,Manaus,AM,Amazonas,1695307,2010062,479.05,189041.0,43029.0,701,17488990.26,-9401807.6,665243.99,39317866.05,6778587.96,0.0,Empresa privada | Administração pública direta
